pID,conditions,ts,block,round,hitTarget
7,"Environment: 2, FiringMode: 1",31.37084,1,1,true
7,"Environment: 2, FiringMode: 1",32.64805,1,1,true
7,"Environment: 2, FiringMode: 1",34.13439,1,1,true
7,"Environment: 2, FiringMode: 1",35.77323,1,1,true
7,"Environment: 2, FiringMode: 1",37.14817,1,1,true
7,"Environment: 2, FiringMode: 1",38.64763,1,1,true
7,"Environment: 2, FiringMode: 1",40.13365,1,1,true
7,"Environment: 2, FiringMode: 1",41.63431,1,1,true
7,"Environment: 2, FiringMode: 1",43.13287,1,1,true
7,"Environment: 2, FiringMode: 1",44.50805,1,1,true
7,"Environment: 2, FiringMode: 1",45.92467,1,1,true
7,"Environment: 2, FiringMode: 1",47.48053,1,1,true
7,"Environment: 2, FiringMode: 1",48.7858,1,1,true
7,"Environment: 2, FiringMode: 1",54.64902,1,2,true
7,"Environment: 2, FiringMode: 1",55.91064,1,2,true
7,"Environment: 2, FiringMode: 1",57.23106,1,2,true
7,"Environment: 2, FiringMode: 1",58.52272,1,2,true
7,"Environment: 2, FiringMode: 1",59.95438,1,2,true
7,"Environment: 2, FiringMode: 1",62.06507,1,2,true
7,"Environment: 2, FiringMode: 1",63.31522,1,2,true
7,"Environment: 2, FiringMode: 1",64.92579,1,2,true
7,"Environment: 2, FiringMode: 1",66.20356,1,2,true
7,"Environment: 2, FiringMode: 1",67.75926,1,2,true
7,"Environment: 2, FiringMode: 1",69.13367,1,2,true
7,"Environment: 2, FiringMode: 1",70.48167,1,2,true
7,"Environment: 2, FiringMode: 1",71.8152,1,2,true
7,"Environment: 2, FiringMode: 1",73.20427,1,2,true
7,"Environment: 2, FiringMode: 1",77.81654,1,3,true
7,"Environment: 2, FiringMode: 1",79.34441,1,3,true
7,"Environment: 2, FiringMode: 1",80.63483,1,3,true
7,"Environment: 2, FiringMode: 1",82.05157,1,3,true
7,"Environment: 2, FiringMode: 1",83.39711,1,3,false
7,"Environment: 2, FiringMode: 1",84.94034,1,3,true
7,"Environment: 2, FiringMode: 1",86.30155,1,3,true
7,"Environment: 2, FiringMode: 1",87.80176,1,3,true
7,"Environment: 2, FiringMode: 1",89.17671,1,3,true
7,"Environment: 2, FiringMode: 1",90.71684,1,3,true
7,"Environment: 2, FiringMode: 1",91.93996,1,3,true
7,"Environment: 2, FiringMode: 1",93.3562,1,3,true
7,"Environment: 2, FiringMode: 1",94.70325,1,3,true
7,"Environment: 2, FiringMode: 1",96.02231,1,3,true
7,"Environment: 1, FiringMode: 1",137.4442,2,1,false
7,"Environment: 1, FiringMode: 1",138.8615,2,1,false
7,"Environment: 1, FiringMode: 1",140.698,2,1,true
7,"Environment: 1, FiringMode: 1",142.1273,2,1,true
7,"Environment: 1, FiringMode: 1",143.6271,2,1,true
7,"Environment: 1, FiringMode: 1",144.9048,2,1,true
7,"Environment: 1, FiringMode: 1",146.2237,2,1,true
7,"Environment: 1, FiringMode: 1",147.5707,2,1,true
7,"Environment: 1, FiringMode: 1",148.8629,2,1,true
7,"Environment: 1, FiringMode: 1",150.1966,2,1,true
7,"Environment: 1, FiringMode: 1",151.599,2,1,true
7,"Environment: 1, FiringMode: 1",152.8076,2,1,true
7,"Environment: 1, FiringMode: 1",154.1133,2,1,true
7,"Environment: 1, FiringMode: 1",155.4182,2,1,true
7,"Environment: 1, FiringMode: 1",159.3904,2,2,true
7,"Environment: 1, FiringMode: 1",161.2383,2,2,true
7,"Environment: 1, FiringMode: 1",162.4607,2,2,true
7,"Environment: 1, FiringMode: 1",163.7802,2,2,true
7,"Environment: 1, FiringMode: 1",164.9882,2,2,true
7,"Environment: 1, FiringMode: 1",166.5987,2,2,true
7,"Environment: 1, FiringMode: 1",167.7092,2,2,true
7,"Environment: 1, FiringMode: 1",169.1951,2,2,true
7,"Environment: 1, FiringMode: 1",170.7069,2,2,false
7,"Environment: 1, FiringMode: 1",172.083,2,2,true
7,"Environment: 1, FiringMode: 1",173.4713,2,2,true
7,"Environment: 1, FiringMode: 1",174.8048,2,2,true
7,"Environment: 1, FiringMode: 1",176.4707,2,2,true
7,"Environment: 1, FiringMode: 1",177.6071,2,2,true
7,"Environment: 1, FiringMode: 1",182.6068,2,3,true
7,"Environment: 1, FiringMode: 1",184.3995,2,3,true
7,"Environment: 1, FiringMode: 1",185.7187,2,3,true
7,"Environment: 1, FiringMode: 1",187.0376,2,3,true
7,"Environment: 1, FiringMode: 1",188.301,2,3,true
7,"Environment: 1, FiringMode: 1",189.8152,2,3,true
7,"Environment: 1, FiringMode: 1",191.2049,2,3,true
7,"Environment: 1, FiringMode: 1",192.3992,2,3,true
7,"Environment: 1, FiringMode: 1",193.8422,2,3,false
7,"Environment: 1, FiringMode: 1",195.1647,2,3,true
7,"Environment: 1, FiringMode: 1",196.3849,2,3,false
7,"Environment: 1, FiringMode: 1",197.7753,2,3,true
7,"Environment: 1, FiringMode: 1",199.1229,2,3,true
7,"Environment: 1, FiringMode: 1",200.3176,2,3,true
7,"Environment: 1, FiringMode: 1",201.6507,2,3,true
